UF	SF	freq
reɪnboʊ	reɪnboʊ	30
træktəɹ	træktəɹ	30
ʃoʊldəɹz	ʃoʊldəɹz	30
lʊkt	lʊkt	30
pʊʃɪŋ	pʊʃɪŋ	30
bɪliv	bɪliv	30
rɪdʒɔɪs	rɪdʒɔɪs	30
sɛkənd	sɛkənd	30
tɪsju	tɪsju	30
skwəɹəl	skwəɹəl	30
fəɹɡɛt	fəɹɡɛt	30
dɑktəɹ	dɑktəɹ	30
bidz	bidz	29
dəɹt	dəɹt	29
dʒeɪn	dʒeɪn	29
saʊndz	saʊndz	29
frʌnt	frʌnt	29
pɑrti	pɑrti	29
wɪʃ	wɪʃ	29
ɡus	ɡus	29
wɔkəɹ	wɔkəɹ	29
pi	pi	29
pɪloʊ	pɪloʊ	29
fɛns	fɛns	29
ɡɑrdən	ɡɑrdən	29
fɪts	fɪts	29
fæn	fæn	29
sup	sup	29
pɑkət	pɑkət	29
ɡlæs	ɡlæs	29
ətɛnʃən	ətɛnʃən	29
pæk	pæk	29
lɔndri	lɔndri	29
mɪsɪŋ	mɪsɪŋ	29
ɡroʊ	ɡroʊ	29
θroʊ	θroʊ	29
fɪɡjəɹ	fɪɡjəɹ	29
brum	brum	29
bʌniz	bʌniz	29
ɛmpti	ɛmpti	29
næsti	næsti	29
roʊst	roʊst	28
weɪv	weɪv	28
baʊns	baʊns	28
reɪzənz	reɪzənz	28
fʊtbɔl	fʊtbɔl	28
mɑrk	mɑrk	28
it	it	28
lɛtəs	lɛɾəs	28
ænt	ænt	28
paɪ	paɪ	28
kæri	kæri	28
tɛr	tɛr	28
draɪd	draɪd	28
skup	skup	27
eɪbəl	eɪbəl	27
swip	swip	27
sæt	sæt	27
kʊk	kʊk	27
sɪŋk	sɪŋk	27
pəɹ	pəɹ	27
kreɪɑnz	kreɪɑnz	27
dɑrk	dɑrk	27
istəɹ	istəɹ	27
bitɪŋ	biɾɪŋ	27
ɑrmz	ɑrmz	27
brɪdʒ	brɪdʒ	26
kwɪk	kwɪk	26
nudəl	nudəl	26
bɑrkɪŋ	bɑrkɪŋ	26
bʌtənz	bʌɾənz	26
stɪks	stɪks	26
pleɪt	pleɪt	26
kreɪɑn	kreɪɑn	26
kæŋɡəɹu	kæŋɡəɹu	26
pʊdɪŋ	pʊdɪŋ	26
hoʊld	hoʊld	26
ɡɑtʃə	ɡɑtʃə	26
kærət	kærət	26
stɪki	stɪki	26
pəteɪtoʊ	pəɾeɪɾoʊ	26
draɪv	draɪv	26
skrætʃ	skrætʃ	26
rʌb	rʌb	26
ɛf	ɛf	26
ɡræni	ɡræni	25
klaʊn	klaʊn	25
tʃu	tʃu	25
wʊlf	wʊlf	25
əpstɛrz	əpstɛrz	25
fæst	fæst	25
fɪnɪʃ	fɪnɪʃ	25
təmɑroʊ	təmɑroʊ	25
təɹki	təɹki	25
pəɹs	pəɹs	25
ɡaɪz	ɡaɪz	25
sʌni	sʌni	25
oʊnli	oʊnli	25
ɡoʊldfɪʃ	ɡoʊldfɪʃ	25
praʊd	praʊd	25
raɪt	rʌɪt	25
treɪn	treɪn	25
loʊ	loʊ	25
kɛr	kɛr	25
kɪtən	kɪɾən	25
bætəɹiz	bæɾəɹiz	25
wəɹks	wəɹks	25
aʊtfɪt	aʊtfɪt	25
fæməli	fæməli	25
swɛtəɹ	swɛɾəɹ	25
kɔrn	kɔrn	25
mɪks	mɪks	25
tɛrəbəl	tɛrəbəl	25
sʌnʃaɪn	sʌnʃaɪn	25
draɪvəɹ	draɪvəɹ	25
nɔɪzɪz	nɔɪzɪz	25
traɪd	traɪd	25
krim	krim	24
broʊk	broʊk	24
fɪl	fɪl	24
plænts	plænts	24
